iter	Passed	Remaining
0	20	10278
1	44	11093
2	70	11682
3	93	11543
4	114	11376
5	140	11551
6	165	11657
7	189	11672
8	215	11781
9	240	11807
10	265	11811
11	278	11306
12	304	11404
13	329	11427
14	354	11471
15	380	11499
16	406	11553
17	431	11566
18	458	11597
19	483	11609
20	509	11613
21	534	11622
22	559	11612
23	588	11671
24	614	11680
25	639	11656
26	668	11712
27	694	11700
28	710	11540
29	735	11519
30	759	11496
31	785	11481
32	810	11473
33	835	11451
34	860	11433
35	887	11437
36	913	11435
37	940	11436
38	965	11417
39	987	11355
40	1012	11333
41	1037	11310
42	1062	11291
43	1087	11269
44	1112	11246
45	1137	11226
46	1162	11202
47	1186	11173
48	1212	11156
49	1228	11058
50	1253	11032
51	1278	11015
52	1303	10993
53	1336	11038
54	1361	11012
55	1386	10993
56	1412	10976
57	1437	10952
58	1462	10935
59	1487	10908
60	1512	10885
61	1538	10868
62	1564	10848
63	1589	10828
64	1616	10821
65	1644	10813
66	1673	10814
67	1698	10789
68	1725	10778
69	1768	10865
70	1820	11002
71	1870	11118
72	1914	11197
73	1936	11150
74	1962	11118
75	1985	11078
76	2011	11051
77	2035	11014
78	2060	10983
79	2085	10950
80	2111	10923
81	2137	10894
82	2162	10864
83	2187	10832
84	2212	10804
85	2236	10767
86	2261	10736
87	2286	10705
88	2312	10679
89	2337	10649
90	2362	10618
91	2387	10587
92	2413	10564
93	2439	10534
94	2464	10505
95	2488	10470
96	2501	10392
97	2526	10364
98	2551	10334
99	2577	10311
100	2602	10279
101	2627	10252
102	2656	10238
103	2684	10221
104	2709	10192
105	2734	10162
106	2759	10134
107	2786	10114
108	2812	10087
109	2839	10067
110	2864	10038
111	2889	10010
112	2914	9982
113	2939	9954
114	2964	9925
115	2989	9895
116	3013	9864
117	3038	9836
118	3063	9807
119	3088	9779
120	3112	9748
121	3138	9723
122	3162	9693
123	3187	9664
124	3212	9636
125	3237	9609
126	3262	9581
127	3287	9554
128	3312	9525
129	3336	9497
130	3361	9468
131	3387	9444
132	3412	9416
133	3437	9388
134	3461	9358
135	3488	9337
136	3513	9309
137	3539	9285
138	3566	9262
139	3593	9239
140	3617	9210
141	3643	9186
142	3672	9168
143	3696	9139
144	3721	9112
145	3746	9084
146	3771	9056
147	3794	9025
148	3819	8997
149	3843	8967
150	3871	8947
151	3895	8919
152	3921	8894
153	3946	8867
154	3975	8847
155	4000	8821
156	4024	8793
157	4050	8768
158	4076	8741
159	4101	8715
160	4126	8688
161	4151	8662
162	4176	8635
163	4203	8611
164	4226	8581
165	4251	8554
166	4276	8526
167	4300	8499
168	4326	8472
169	4351	8447
170	4377	8421
171	4402	8395
172	4428	8369
173	4452	8341
174	4476	8314
175	4502	8288
176	4527	8262
177	4552	8235
178	4577	8208
179	4602	8181
180	4626	8153
181	4656	8136
182	4682	8111
183	4698	8069
184	4723	8042
185	4748	8016
186	4774	7991
187	4799	7965
188	4823	7936
189	4848	7910
190	4873	7883
191	4897	7856
192	4921	7828
193	4945	7800
194	4970	7775
195	4981	7726
196	5006	7700
197	5015	7650
