iter	RMSE
0	24.78740358
1	24.12310021
2	23.45876424
3	22.81391716
4	22.18621331
5	21.57057788
6	20.98107093
7	20.40246481
8	19.8499826
9	19.32207703
10	18.80119392
11	18.31966212
12	17.82138625
13	17.33576734
14	16.87320623
15	16.42724515
16	15.9984272
17	15.57445283
18	15.17101045
19	14.7734666
20	14.38785057
21	14.01952524
22	13.65622066
23	13.30574728
24	12.96596377
25	12.64211608
26	12.33199223
27	12.03800276
28	11.74735707
29	11.45591286
30	11.18693541
31	10.91901212
32	10.66760796
33	10.41795597
34	10.18423685
35	9.949597806
36	9.723716327
37	9.50254502
38	9.283815891
39	9.08465074
40	8.886358728
41	8.69942487
42	8.513592956
43	8.338398786
44	8.17438951
45	8.015859134
46	7.850256266
47	7.696968755
48	7.552229263
49	7.427000838
50	7.295178606
51	7.159735585
52	7.032631082
53	6.899851991
54	6.779493516
55	6.662622843
56	6.553683589
57	6.446244218
58	6.344247282
59	6.235152992
60	6.129725092
61	6.034861602
62	5.948773038
63	5.864621296
64	5.780599005
65	5.699612336
66	5.628386712
67	5.546183334
68	5.468577108
69	5.394352702
70	5.327848892
71	5.256059408
72	5.187813704
73	5.121002647
74	5.068600296
75	5.012840194
76	4.953625064
77	4.892955631
78	4.834956166
79	4.781301685
80	4.731339941
81	4.681609817
82	4.636566671
83	4.595474246
84	4.55564749
85	4.507415238
86	4.468749211
87	4.418542738
88	4.383997292
89	4.34186758
90	4.302495427
91	4.268399887
92	4.226625427
93	4.195639498
94	4.16742713
95	4.138719328
96	4.120864349
97	4.089917802
98	4.065511963
99	4.029497809
100	3.995640585
101	3.971906619
102	3.944265329
103	3.925368759
104	3.904960443
105	3.886108522
106	3.860567255
107	3.835412466
108	3.811393072
109	3.789128193
110	3.762524427
111	3.746635325
112	3.721823021
113	3.70513123
114	3.685155873
115	3.659228717
116	3.643798122
117	3.628078595
118	3.60715472
119	3.592687814
120	3.563583167
121	3.546814296
122	3.52849964
123	3.503385562
124	3.48205326
125	3.466582307
126	3.453830307
127	3.432839556
128	3.422459026
129	3.412635476
130	3.39853279
131	3.387264842
132	3.373085729
133	3.362839263
134	3.349180882
135	3.33715745
136	3.32711476
137	3.30181955
138	3.287784025
139	3.270667474
140	3.259823271
141	3.242995255
142	3.228398783
143	3.218347811
144	3.212313074
145	3.205155169
146	3.190852637
147	3.179237046
148	3.16696494
149	3.158753303
150	3.139541877
151	3.128709335
152	3.122442157
153	3.109669801
154	3.099091143
155	3.083250145
156	3.076443767
157	3.064456173
158	3.059058586
159	3.03984617
160	3.035183275
161	3.022959549
162	3.013003002
163	3.004240637
164	2.999084156
165	2.99460701
166	2.987529465
167	2.982658765
168	2.979718773
169	2.974733257
170	2.967288621
171	2.962089053
172	2.951204299
173	2.945540687
174	2.941191633
175	2.932337351
176	2.925872452
177	2.918602689
178	2.913566048
179	2.906635776
180	2.892056615
181	2.882297052
182	2.877358713
183	2.876360675
184	2.864998592
185	2.861123377
186	2.854227674
187	2.850740317
188	2.844258847
189	2.834930176
190	2.827571589
191	2.819858989
192	2.814382926
193	2.806708842
194	2.794928842
195	2.794581759
196	2.789107984
197	2.788773837
198	2.782508415
