iter	RMSE
0	24.70220446
1	24.03978825
2	23.37660722
3	22.73437412
4	22.10895314
5	21.49797694
6	20.90513906
7	20.32907712
8	19.77981268
9	19.24411764
10	18.73612752
11	18.25546534
12	17.7596013
13	17.2783438
14	16.81716851
15	16.3720702
16	15.94472719
17	15.52199299
18	15.12050177
19	14.72484921
20	14.33780169
21	13.97133741
22	13.62804994
23	13.27842296
24	12.93990484
25	12.61696271
26	12.30713053
27	12.00167143
28	11.70261779
29	11.41465798
30	11.14698178
31	10.8876565
32	10.62870793
33	10.38055389
34	10.13943887
35	9.908294173
36	9.703904901
37	9.480580663
38	9.27449478
39	9.090284464
40	8.893678067
41	8.709953978
42	8.531010902
43	8.359048064
44	8.190332376
45	8.023605954
46	7.862827299
47	7.707762069
48	7.562524015
49	7.43106372
50	7.294276017
51	7.162082768
52	7.030525579
53	6.896378991
54	6.776488148
55	6.662425778
56	6.553403898
57	6.449479884
58	6.345599473
59	6.235973156
60	6.127861794
61	6.038195949
62	5.951933876
63	5.866160282
64	5.781183306
65	5.695293385
66	5.615963559
67	5.534580739
68	5.459932784
69	5.394572819
70	5.319674051
71	5.251528834
72	5.200012947
73	5.144722498
74	5.091499746
75	5.036630915
76	4.979419138
77	4.918969824
78	4.863495851
79	4.809790568
80	4.753592032
81	4.707028012
82	4.661851138
83	4.621959607
84	4.580966562
85	4.534165144
86	4.496016014
87	4.443548278
88	4.408622296
89	4.367245563
90	4.324343389
91	4.300556464
92	4.271009323
93	4.233234352
94	4.206531334
95	4.172852438
96	4.145848471
97	4.116119392
98	4.077947625
99	4.051288943
100	4.013771838
101	3.991099733
102	3.963552925
103	3.927295521
104	3.898712276
105	3.869160144
106	3.846784893
107	3.813238704
108	3.794192992
109	3.766886517
110	3.748478678
111	3.719157067
112	3.704973798
113	3.677755997
114	3.656728944
115	3.637500364
116	3.62289086
117	3.608103448
118	3.581325956
119	3.55826494
120	3.546169181
121	3.532925942
122	3.521339038
123	3.501066233
124	3.477856604
125	3.456672453
126	3.446116271
127	3.433932988
128	3.417180841
129	3.400675391
130	3.388976507
131	3.378968022
132	3.355300684
133	3.343244187
134	3.324640966
135	3.305583828
136	3.285060458
137	3.270852519
138	3.257100033
139	3.246158352
140	3.233386029
141	3.214845312
142	3.198797047
143	3.189665357
144	3.182233379
145	3.17666518
146	3.167026832
147	3.153274189
148	3.140675138
149	3.130131387
150	3.120854325
151	3.113808439
152	3.104066106
153	3.093732524
154	3.086665733
155	3.079909973
156	3.069286978
157	3.058811544
158	3.046420153
159	3.039768549
160	3.03408332
161	3.025093246
162	3.021234783
163	3.015731319
164	3.00895619
165	3.004797359
166	2.995696316
167	2.993109246
168	2.986176028
169	2.981413898
170	2.972216834
171	2.967890342
172	2.96201676
173	2.955623583
174	2.951013549
175	2.937315819
176	2.934261625
177	2.93357083
178	2.928343514
179	2.920219635
180	2.915479775
181	2.912373763
182	2.89566362
183	2.891174528
184	2.881540458
185	2.875228909
186	2.866184167
187	2.862364232
188	2.852768703
189	2.849307761
190	2.84125119
191	2.839135375
192	2.833803504
193	2.823080765
194	2.818687632
195	2.813946533
196	2.806346523
197	2.800369512
198	2.793627156
199	2.790041617
200	2.777824764
201	2.771940459
202	2.767554209
203	2.759556263
204	2.759233284
205	2.758921309
206	2.754400672
207	2.748637642
208	2.744495201
209	2.736690632
210	2.730152204
211	2.725966915
212	2.722319485
213	2.716506638
214	2.713554698
215	2.709835649
