iter	Passed	Remaining
0	21	10739
1	45	11373
2	72	12039
3	95	11841
4	117	11632
5	143	11818
6	171	12048
7	196	12115
8	222	12112
9	246	12101
10	280	12477
11	305	12432
12	337	12651
13	377	13101
14	404	13077
15	430	13027
16	455	12930
17	480	12855
18	504	12764
19	530	12731
20	554	12658
21	580	12604
22	606	12568
23	635	12608
24	661	12566
25	687	12530
26	712	12481
27	737	12428
28	764	12417
29	789	12364
30	816	12346
31	839	12283
32	867	12271
33	893	12252
34	915	12169
35	941	12133
36	966	12091
37	992	12069
38	1017	12026
39	1030	11851
40	1055	11815
41	1080	11786
42	1107	11765
43	1132	11732
44	1157	11702
45	1182	11666
46	1208	11646
47	1234	11624
48	1259	11596
49	1285	11567
50	1310	11534
51	1335	11503
52	1363	11502
53	1389	11478
54	1415	11454
55	1441	11425
56	1467	11403
57	1493	11378
58	1518	11347
59	1544	11323
60	1572	11315
61	1598	11294
62	1628	11298
63	1658	11297
64	1684	11273
65	1710	11247
66	1736	11220
67	1762	11197
68	1787	11165
69	1812	11131
70	1837	11103
71	1862	11071
72	1887	11042
73	1916	11031
74	1945	11022
75	1972	11003
76	1998	10980
77	2024	10953
78	2049	10919
79	2074	10890
80	2098	10857
81	2123	10826
82	2151	10810
83	2175	10774
84	2200	10744
85	2226	10717
86	2252	10692
87	2279	10670
88	2305	10645
89	2329	10611
90	2355	10586
91	2380	10555
92	2407	10536
93	2432	10507
94	2459	10485
95	2485	10457
96	2511	10433
97	2538	10411
98	2579	10449
99	2615	10463
100	2643	10443
101	2667	10409
102	2692	10377
103	2717	10347
104	2744	10322
105	2771	10300
106	2798	10278
107	2822	10246
108	2848	10218
109	2874	10191
110	2899	10161
111	2924	10133
112	2950	10103
113	2976	10078
114	3018	10105
115	3043	10074
116	3068	10046
117	3094	10017
118	3119	9987
119	3144	9958
120	3171	9933
121	3198	9908
122	3224	9882
123	3250	9856
124	3276	9829
125	3317	9845
126	3343	9818
127	3368	9789
128	3394	9761
129	3420	9734
130	3447	9711
131	3472	9681
132	3497	9652
133	3524	9625
134	3548	9593
135	3573	9564
136	3598	9534
137	3629	9520
138	3653	9487
139	3680	9464
140	3705	9433
141	3729	9403
142	3754	9373
143	3779	9343
144	3805	9316
145	3830	9288
146	3859	9266
147	3884	9239
148	3910	9212
149	3934	9180
150	3960	9153
151	3984	9123
152	4010	9094
153	4036	9067
154	4061	9040
155	4084	9007
156	4109	8978
157	4134	8948
158	4159	8921
159	4185	8894
160	4210	8865
161	4236	8839
162	4261	8811
163	4286	8783
164	4311	8754
165	4337	8726
166	4363	8700
167	4384	8665
168	4411	8641
169	4436	8612
170	4461	8584
171	4487	8557
172	4513	8531
173	4538	8503
174	4563	8475
175	4588	8447
176	4617	8426
177	4627	8371
178	4653	8345
179	4678	8317
180	4704	8290
181	4728	8261
182	4753	8234
183	4779	8208
184	4804	8180
185	4829	8152
186	4853	8124
187	4881	8100
188	4907	8074
189	4932	8048
190	4957	8021
191	4983	7994
192	5008	7967
193	5033	7939
194	5058	7912
195	5084	7886
196	5110	7860
197	5143	7845
198	5169	7819
199	5194	7791
200	5218	7763
201	5245	7738
202	5271	7712
203	5298	7688
204	5315	7649
205	5324	7599
206	5349	7572
207	5374	7544
208	5399	7518
209	5424	7491
210	5449	7464
211	5473	7435
212	5497	7407
213	5522	7380
214	5548	7354
215	5572	7327
216	5599	7302
217	5626	7278
218	5653	7253
219	5679	7228
220	5717	7218
221	5741	7190
222	5767	7164
223	5792	7137
224	5833	7129
225	5857	7102
226	5883	7075
227	5907	7048
228	5932	7020
229	5959	6995
230	5982	6966
231	6007	6940
232	6035	6915
233	6059	6888
234	6084	6861
235	6108	6833
236	6135	6808
237	6160	6782
238	6185	6755
239	6210	6728
240	6235	6701
241	6259	6673
242	6279	6641
243	6303	6613
244	6327	6585
245	6351	6558
246	6376	6531
247	6401	6504
248	6426	6477
249	6451	6451
250	6474	6422
251	6501	6398
252	6510	6356
253	6532	6326
254	6556	6299
255	6583	6274
256	6614	6254
257	6639	6227
258	6663	6200
259	6688	6174
260	6714	6148
261	6740	6122
262	6765	6096
263	6774	6056
264	6798	6028
265	6823	6003
266	6849	5977
267	6873	5950
268	6882	5910
269	6907	5883
270	6931	5857
271	6944	5821
272	6969	5795
273	6995	5769
274	7020	5744
275	7046	5718
276	7071	5692
277	7097	5667
278	7121	5640
279	7147	5615
280	7170	5588
281	7195	5562
282	7205	5524
283	7213	5486
284	7239	5461
285	7265	5436
286	7278	5402
287	7286	5364
288	7311	5337
289	7335	5312
290	7360	5286
291	7383	5259
292	7408	5234
293	7434	5209
294	7459	5183
295	7468	5146
296	7492	5121
297	7517	5095
298	7542	5070
299	7555	5036
300	7579	5010
301	7609	4988
302	7632	4962
303	7658	4937
304	7682	4912
305	7707	4886
306	7731	4860
307	7756	4835
308	7765	4799
309	7789	4774
310	7814	4748
311	7839	4723
312	7863	4698
313	7872	4663
314	7898	4639
315	7924	4614
316	7950	4589
317	7975	4564
318	8001	4539
319	8027	4515
320	8052	4490
321	8077	4465
322	8104	4441
323	8130	4416
324	8156	4391
325	8164	4357
326	8189	4332
327	8213	4307
328	8238	4282
329	8262	4256
330	8287	4231
331	8312	4206
332	8338	4181
333	8363	4156
334	8388	4131
335	8412	4106
336	8437	4081
337	8463	4056
338	8472	4023
339	8496	3998
340	8522	3973
341	8545	3948
342	8570	3922
343	8601	3900
344	8626	3875
345	8651	3850
346	8676	3825
347	8701	3800
348	8726	3775
349	8751	3750
350	8776	3725
351	8801	3700
352	8827	3675
353	8854	3651
354	8879	3626
355	8904	3602
356	8928	3576
357	8968	3557
358	9000	3535
359	9025	3509
360	9050	3484
361	9076	3460
362	9101	3435
363	9126	3410
364	9150	3384
