iter	Passed	Remaining
0	21	10747
1	45	11312
2	70	11698
3	93	11578
4	114	11338
5	140	11590
6	170	12012
7	196	12075
8	224	12233
9	249	12211
10	274	12213
11	287	11681
12	312	11691
13	335	11663
14	360	11649
15	384	11642
16	413	11752
17	438	11734
18	463	11742
19	489	11746
20	513	11722
21	540	11735
22	565	11723
23	590	11708
24	615	11696
25	628	11460
26	663	11631
27	689	11620
28	715	11622
29	740	11603
30	765	11584
31	791	11570
32	816	11548
33	834	11437
34	860	11426
35	884	11403
36	910	11398
37	936	11391
38	962	11380
39	987	11355
40	1012	11334
41	1037	11314
42	1062	11293
43	1087	11271
44	1112	11245
45	1136	11221
46	1161	11197
47	1191	11215
48	1215	11190
49	1242	11180
50	1267	11158
51	1292	11139
52	1319	11128
53	1344	11104
54	1368	11076
55	1395	11065
56	1420	11040
57	1459	11120
58	1493	11163
59	1517	11130
60	1543	11107
61	1567	11074
62	1592	11048
63	1617	11018
64	1638	10965
65	1662	10935
66	1687	10907
67	1713	10884
68	1738	10857
69	1764	10836
70	1801	10885
71	1834	10904
72	1864	10908
73	1895	10914
74	1937	10978
75	1962	10947
76	1990	10935
77	2014	10899
78	2040	10876
79	2066	10850
80	2092	10826
81	2119	10804
82	2145	10779
83	2174	10770
84	2202	10753
85	2227	10722
86	2257	10717
87	2283	10692
88	2309	10665
89	2336	10641
90	2364	10627
91	2391	10606
92	2416	10576
93	2441	10547
94	2467	10517
95	2492	10488
96	2517	10460
97	2542	10429
98	2569	10408
99	2593	10373
100	2618	10343
101	2642	10312
102	2667	10282
103	2692	10251
104	2717	10223
105	2742	10195
106	2768	10167
107	2795	10145
108	2821	10122
109	2847	10094
110	2872	10065
111	2897	10037
112	2924	10017
113	2950	9989
114	2975	9961
115	3000	9932
116	3024	9902
117	3051	9878
118	3076	9850
119	3101	9822
120	3126	9794
121	3154	9773
122	3181	9751
123	3206	9723
124	3231	9695
125	3257	9668
126	3282	9641
127	3307	9613
128	3332	9585
129	3357	9554
130	3385	9535
131	3409	9505
132	3438	9487
133	3467	9470
134	3496	9452
135	3521	9426
136	3547	9399
137	3573	9373
138	3600	9351
139	3625	9321
140	3649	9292
141	3674	9264
142	3698	9234
143	3723	9204
144	3747	9175
145	3771	9144
146	3796	9116
147	3820	9085
148	3846	9061
149	3871	9032
150	3896	9006
151	3921	8977
152	3946	8950
153	3973	8926
154	3997	8898
155	4021	8868
156	4047	8842
157	4070	8811
158	4095	8782
159	4119	8754
160	4150	8738
161	4178	8717
162	4203	8691
163	4230	8667
164	4254	8638
165	4281	8614
166	4307	8589
167	4332	8561
168	4357	8534
169	4382	8507
170	4410	8486
171	4436	8461
172	4464	8438
173	4492	8416
174	4519	8393
175	4545	8368
176	4573	8346
177	4601	8324
178	4626	8297
179	4652	8270
180	4676	8242
181	4701	8215
182	4726	8188
183	4753	8163
184	4779	8138
185	4807	8116
186	4820	8068
187	4846	8043
188	4855	7989
189	4881	7964
190	4906	7937
191	4931	7911
192	4957	7885
193	4981	7857
194	5005	7829
195	5031	7803
196	5057	7779
197	5082	7751
198	5107	7724
199	5116	7675
200	5146	7655
201	5173	7631
202	5199	7606
203	5223	7579
204	5236	7535
205	5259	7506
206	5284	7479
207	5309	7453
208	5333	7425
209	5359	7401
210	5380	7369
211	5405	7343
212	5431	7318
213	5456	7291
214	5479	7263
215	5504	7237
216	5532	7214
217	5540	7167
218	5565	7140
219	5592	7117
220	5620	7094
221	5644	7068
222	5668	7040
223	5693	7015
224	5717	6988
225	5743	6963
226	5767	6936
227	5792	6909
228	5814	6881
229	5840	6855
230	5866	6831
231	5875	6786
232	5900	6761
233	5924	6734
234	5950	6709
235	5976	6685
236	6000	6658
237	6026	6633
238	6051	6608
239	6063	6568
240	6076	6530
241	6101	6504
242	6127	6480
243	6157	6459
244	6180	6432
245	6204	6406
246	6230	6382
247	6256	6357
248	6266	6316
249	6278	6278
250	6310	6260
251	6336	6235
252	6361	6210
253	6385	6184
254	6409	6158
255	6435	6133
256	6460	6108
257	6484	6082
258	6511	6058
259	6537	6034
260	6563	6010
261	6590	5986
262	6598	5946
263	6625	5923
264	6651	5898
265	6676	5873
266	6700	5847
267	6728	5824
268	6755	5801
269	6780	5776
270	6805	5750
271	6828	5723
272	6853	5698
273	6877	5672
274	6886	5634
275	6895	5596
276	6903	5558
277	6929	5533
278	6954	5508
279	6980	5484
280	7020	5471
281	7044	5445
282	7068	5419
283	7092	5394
284	7119	5370
285	7148	5349
286	7173	5324
287	7198	5298
288	7224	5274
289	7248	5248
290	7273	5223
291	7298	5199
292	7322	5173
293	7330	5136
294	7355	5111
295	7381	5086
296	7405	5061
297	7430	5036
298	7439	5000
299	7463	4975
300	7487	4950
301	7497	4915
302	7524	4892
303	7551	4868
304	7575	4843
305	7616	4828
306	7650	4809
307	7676	4785
308	7701	4760
309	7726	4735
310	7750	4710
311	7775	4685
312	7798	4659
313	7824	4634
314	7849	4609
315	7874	4585
316	7899	4560
317	7912	4528
318	7921	4494
319	7945	4469
320	7969	4443
321	7993	4418
322	8018	4394
323	8044	4369
324	8069	4345
325	8093	4320
326	8119	4295
327	8148	4273
328	8173	4248
329	8199	4223
330	8223	4198
331	8248	4173
332	8271	4148
333	8295	4122
334	8320	4098
335	8344	4073
336	8370	4048
337	8395	4023
338	8421	3999
339	8443	3973
340	8469	3949
341	8496	3925
342	8522	3900
343	8547	3876
344	8571	3850
345	8597	3826
346	8621	3801
347	8646	3776
348	8669	3750
349	8694	3726
350	8720	3701
351	8750	3679
352	8774	3654
