iter	RMSE
0	24.78982052
1	24.12170162
2	23.45527617
3	22.80957046
4	22.18169496
5	21.56798675
6	20.97306071
7	20.39505754
8	19.84467627
9	19.31851878
10	18.8085564
11	18.32679981
12	17.82873113
13	17.345685
14	16.88361163
15	16.43834197
16	16.01006767
17	15.6000005
18	15.20112474
19	14.80305475
20	14.41417716
21	14.04583651
22	13.70158139
23	13.35126575
24	13.01144298
25	12.71147831
26	12.39317495
27	12.09234348
28	11.8040645
29	11.51392901
30	11.24314736
31	10.97329782
32	10.71907689
33	10.47480327
34	10.22935861
35	10.0014075
36	9.774018143
37	9.554497036
38	9.343049415
39	9.134500866
40	8.930860808
41	8.743166171
42	8.557190474
43	8.377231019
44	8.202187197
45	8.034608138
46	7.881432833
47	7.725886953
48	7.568079119
49	7.428077528
50	7.286153141
51	7.155164695
52	7.019706689
53	6.890732661
54	6.769752795
55	6.658414917
56	6.54687448
57	6.439591497
58	6.329495178
59	6.239348491
60	6.135188524
61	6.041431419
62	5.948387039
63	5.862759159
64	5.784166988
65	5.708120618
66	5.622441362
67	5.543704374
68	5.467434784
69	5.401030957
70	5.335070882
71	5.272769648
72	5.212274938
73	5.138718457
74	5.085666901
75	5.028115993
76	4.975523308
77	4.9282909
78	4.874779915
79	4.809865636
80	4.753929363
81	4.70825098
82	4.666818052
83	4.624770687
84	4.580380754
85	4.546928248
86	4.511149277
87	4.47534447
88	4.438901215
89	4.408438236
90	4.37594257
91	4.347128797
92	4.319293754
93	4.274350977
94	4.233424291
95	4.197947698
96	4.165993148
97	4.137744449
98	4.107049995
99	4.084218822
100	4.060470918
101	4.038867854
102	4.016735663
103	3.998432133
104	3.971992029
105	3.954896522
106	3.921747341
107	3.899908375
108	3.87414018
109	3.857157948
110	3.837411485
111	3.81508181
112	3.796477288
113	3.766885502
114	3.751821943
115	3.735377988
116	3.720028372
117	3.702813228
118	3.675947571
119	3.664935426
120	3.647996882
121	3.636725415
122	3.62581435
123	3.611509257
124	3.600671941
125	3.578216252
126	3.561892422
127	3.545411645
128	3.534945036
129	3.525476046
130	3.499063858
131	3.489190481
132	3.476802115
133	3.468161429
134	3.461466672
135	3.439442135
136	3.428847522
137	3.412318276
138	3.398537737
139	3.391327738
140	3.383908227
141	3.375821135
142	3.365899173
143	3.356360692
144	3.347526962
145	3.333639568
146	3.326385601
147	3.319125466
148	3.308219435
149	3.302192985
150	3.294973121
151	3.288449917
152	3.279263783
153	3.265188322
154	3.26056407
155	3.253531156
156	3.243946769
157	3.240603491
158	3.235270209
159	3.22579427
160	3.213313254
161	3.201945187
162	3.187498059
163	3.181664435
164	3.177239123
165	3.161974509
166	3.149518764
167	3.141675084
168	3.131998245
169	3.127611621
170	3.114378141
171	3.108200697
172	3.094931629
173	3.088182634
174	3.084945491
175	3.077718909
176	3.0680241
177	3.062954799
178	3.056691752
179	3.052648244
180	3.039404753
181	3.035032447
182	3.025701387
183	3.011948134
184	2.997712101
185	2.98841366
186	2.987869975
187	2.979482585
188	2.979079796
189	2.976168652
190	2.974565919
191	2.968876143
192	2.961535174
193	2.957846579
194	2.952615293
195	2.939884854
196	2.933472123
197	2.927275787
198	2.921599121
199	2.921263925
200	2.907486229
201	2.896734778
202	2.891863497
203	2.883167684
204	2.882828645
205	2.878471018
206	2.866284829
207	2.861145034
208	2.8563746
209	2.849769988
210	2.846573498
211	2.842545838
212	2.827715021
213	2.823453681
214	2.820972773
215	2.815374126
216	2.807615031
217	2.807353947
218	2.795864523
219	2.79157188
220	2.789173867
221	2.783891208
222	2.778610849
223	2.771460577
