iter	Passed	Remaining
402	10621	2556
403	10647	2530
404	10675	2504
405	10703	2478
406	10729	2451
407	10755	2425
408	10780	2398
409	10805	2371
410	10833	2346
411	10859	2319
412	10884	2292
413	10908	2266
414	10932	2239
415	10956	2212
416	10981	2185
417	11009	2159
418	11035	2133
419	11058	2106
420	11085	2080
421	11108	2053
422	11133	2026
423	11158	2000
424	11183	1973
425	11207	1946
426	11232	1920
427	11258	1893
428	11283	1867
429	11307	1840
430	11332	1814
431	11358	1787
432	11383	1761
433	11408	1734
434	11432	1708
435	11456	1681
436	11482	1655
437	11507	1628
438	11532	1602
439	11557	1576
440	11582	1549
441	11606	1523
442	11631	1496
443	11657	1470
444	11682	1443
445	11706	1417
446	11732	1391
447	11756	1364
448	11780	1338
449	11804	1311
450	11830	1285
451	11859	1259
452	11884	1233
453	11908	1206
454	11934	1180
455	11958	1153
456	11981	1127
457	12011	1101
458	12048	1076
459	12085	1050
460	12108	1024
461	12133	998
462	12157	971
463	12181	945
464	12209	919
465	12234	892
466	12259	866
467	12284	839
468	12309	813
469	12334	787
470	12359	761
471	12384	734
472	12409	708
473	12433	682
474	12458	655
475	12485	629
476	12510	603
477	12534	576
478	12558	550
479	12583	524
480	12608	498
481	12632	471
482	12657	445
483	12681	419
484	12708	393
485	12734	366
486	12759	340
487	12784	314
488	12810	288
489	12835	261
490	12860	235
491	12888	209
492	12913	183
493	12938	157
494	12965	130
495	12991	104
496	13018	78
497	13043	52
498	13068	26
499	13093	0
