iter	Passed	Remaining
0	22	11111
1	45	11352
2	72	11971
3	94	11744
4	115	11438
5	141	11671
6	167	11777
7	193	11875
8	218	11930
9	243	11937
10	269	11982
11	282	11504
12	308	11563
13	332	11551
14	358	11594
15	383	11607
16	410	11653
17	435	11667
18	461	11675
19	486	11669
20	510	11651
21	536	11656
22	561	11651
23	587	11647
24	612	11646
25	637	11621
26	662	11608
27	689	11621
28	714	11607
29	740	11606
30	765	11582
31	790	11558
32	816	11549
33	842	11550
34	863	11475
35	894	11527
36	921	11527
37	946	11509
38	972	11490
39	984	11322
40	1010	11309
41	1035	11288
42	1061	11279
43	1086	11262
44	1113	11254
45	1138	11241
46	1164	11220
47	1190	11208
48	1214	11182
49	1240	11161
50	1264	11131
51	1289	11110
52	1314	11089
53	1342	11088
54	1367	11068
55	1403	11126
56	1441	11204
57	1466	11176
58	1491	11151
59	1516	11119
60	1541	11091
61	1566	11067
62	1594	11058
63	1619	11035
64	1645	11011
65	1670	10982
66	1694	10952
67	1720	10930
68	1745	10901
69	1771	10881
70	1796	10853
71	1821	10830
72	1847	10807
73	1877	10808
74	1905	10795
75	1930	10770
76	1955	10741
77	1980	10717
78	2010	10711
79	2035	10686
80	2060	10656
81	2086	10634
82	2110	10605
83	2136	10580
84	2160	10548
85	2185	10518
86	2210	10491
87	2235	10466
88	2259	10434
89	2284	10407
90	2310	10382
91	2337	10364
92	2362	10337
93	2387	10312
94	2412	10283
95	2438	10261
96	2463	10233
97	2489	10211
98	2514	10185
99	2540	10163
100	2566	10137
101	2591	10110
102	2616	10086
103	2641	10056
104	2668	10037
105	2693	10010
106	2719	9989
107	2744	9959
108	2770	9938
109	2794	9907
110	2819	9881
111	2846	9859
112	2874	9842
113	2899	9818
114	2924	9789
115	2948	9762
116	2973	9732
117	2997	9705
118	3025	9685
119	3050	9660
120	3075	9633
121	3101	9609
122	3127	9585
123	3152	9558
124	3176	9530
125	3202	9506
126	3226	9476
127	3252	9451
128	3276	9423
129	3301	9397
130	3326	9369
131	3351	9342
132	3376	9316
133	3401	9290
134	3425	9262
135	3451	9236
136	3475	9207
137	3500	9182
138	3524	9153
139	3541	9107
140	3567	9083
141	3591	9054
142	3616	9028
143	3641	9002
144	3666	8977
145	3691	8950
146	3716	8924
147	3747	8912
148	3772	8887
149	3798	8862
150	3822	8835
151	3847	8809
152	3876	8790
153	3902	8767
154	3927	8742
155	3952	8716
156	3978	8690
157	4002	8664
158	4029	8641
