iter	RMSE
0	24.6655429
1	24.0037486
2	23.34269804
3	22.70099835
4	22.07607323
5	21.46363497
6	20.87723089
7	20.30135445
8	19.75130375
9	19.22597217
10	18.70705616
11	18.22757612
12	17.73569157
13	17.25451354
14	16.79351996
15	16.34939759
16	15.9225559
17	15.50096311
18	15.10079683
19	14.7041362
20	14.32006474
21	13.95304902
22	13.5910712
23	13.24266298
24	12.90434782
25	12.58227439
26	12.27209581
27	11.9672919
28	11.6698981
29	11.38180744
30	11.11462179
31	10.85590919
32	10.59918816
33	10.35079056
34	10.11071379
35	9.88011432
36	9.675987383
37	9.454227823
38	9.247744946
39	9.064113741
40	8.869115614
41	8.684584071
42	8.506337015
43	8.334810378
44	8.166075363
45	7.999792802
46	7.836272183
47	7.68106866
48	7.535773898
49	7.40478526
50	7.273035478
51	7.148309061
52	7.021012496
53	6.894081281
54	6.771908844
55	6.657730652
56	6.548063592
57	6.446773537
58	6.347557243
59	6.246709072
60	6.155336891
61	6.060313124
62	5.975866537
63	5.879725911
64	5.796970006
65	5.720654086
66	5.646996778
67	5.57693842
68	5.495182275
69	5.424982425
70	5.36935027
71	5.313888043
72	5.243345626
73	5.19345392
74	5.139344901
75	5.08509795
76	5.026107357
77	4.964299006
78	4.919147824
79	4.872020679
80	4.827221107
81	4.784691937
82	4.746147894
83	4.700119989
84	4.656747412
85	4.607061865
86	4.563118395
87	4.528529019
88	4.491340379
89	4.454421451
90	4.424042836
91	4.383456714
92	4.357376183
93	4.320169826
94	4.296175951
95	4.260915897
96	4.22668461
97	4.199085713
98	4.164126886
99	4.141213123
100	4.117381115
101	4.081831919
102	4.057357329
103	4.023668568
104	3.999878209
105	3.977921769
106	3.952582641
107	3.929290827
108	3.902961991
109	3.884660153
110	3.860473355
111	3.840473276
112	3.823251166
113	3.800762143
114	3.772453407
115	3.759458122
116	3.745035112
117	3.714818488
118	3.688947655
119	3.677429276
120	3.658248598
121	3.631779646
122	3.611450792
123	3.597649573
124	3.58412943
125	3.563280541
126	3.544657138
127	3.534995106
128	3.520867798
129	3.50733703
130	3.495724561
131	3.48794904
132	3.476206291
133	3.465582069
134	3.452729556
135	3.445134824
136	3.43428916
137	3.415002681
138	3.406927168
139	3.402806654
140	3.394540469
141	3.385378876
142	3.379850994
143	3.365134746
144	3.346902259
145	3.341284902
146	3.334234013
147	3.319164652
148	3.308510052
149	3.302771386
150	3.289201061
151	3.281090872
152	3.264725506
153	3.250637765
154	3.243983658
155	3.227830972
156	3.218864266
157	3.208786685
158	3.201598687
159	3.191154982
160	3.18779103
161	3.178336046
162	3.159808946
163	3.150386406
164	3.140766719
165	3.132814307
166	3.124798462
167	3.118016724
168	3.104759943
169	3.098099848
170	3.083708132
171	3.076633212
172	3.071319437
173	3.06449349
174	3.056541086
175	3.050464026
176	3.038758338
177	3.03045047
178	3.023516657
179	3.016296574
180	3.005534166
181	2.990683888
182	2.984022462
183	2.977238496
184	2.973281774
185	2.96468278
186	2.955770197
187	2.952477856
188	2.946199873
189	2.942110405
190	2.934674321
191	2.922409194
192	2.917154583
193	2.912870099
194	2.905928579
195	2.905564321
196	2.902647501
197	2.895735105
198	2.89110177
199	2.886742196
200	2.884273617
201	2.878041804
202	2.877719707
203	2.873996573
204	2.870096933
205	2.856177082
206	2.853489028
207	2.850506914
208	2.836403802
209	2.827334449
210	2.82277645
211	2.821506285
212	2.809605407
213	2.803410621
